2022-07-17 14:53:11,478 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 14:53:11,569 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 14:53:11,609 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 14:53:11,786 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 14:53:12,020 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['/usr/lib/firefox/firefox']
2022-07-17 14:53:12,034 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:55:40,591 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 14:55:40,591 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 14:55:40,591 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 14:55:40,591 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 14:55:40,592 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:55:40,836 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-07-17 14:55:40,953 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:55:40,991 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:55:41,089 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 14:55:41,304 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 14:55:42,180 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application IntelliJ IDEA Ultimate Edition (/usr/share/applications/jetbrains-idea.desktop) Exec ['intellij-idea-ultimate-edition']
2022-07-17 14:55:42,185 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 15:09:37,863 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 15:09:37,863 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 15:09:37,863 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 15:09:37,863 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 15:09:37,863 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
